,F,V,R0,eta,gamma,alpha,,vexp,R0exp,etaexp
80,2.773074828,-15.64574252,-4.887466055,-0.129152957,0.042285763,0.016701163,,1.60376E-07,0.007540506,0.878839531
81,2.901267969,-15.63955492,-4.880007367,-0.162264608,0.046508602,0.030772055,,1.61372E-07,0.007596958,0.8502162
82,2.805182619,-15.6475953,-4.892047121,-0.144257712,0.044063132,0.02057167,,1.60079E-07,0.007506041,0.865664627
83,2.852125978,-15.63732014,-4.858004661,-0.121276896,0.046174223,0.007485533,,1.61733E-07,0.007765964,0.885788654
84,2.857399308,-15.638163,-4.89711518,-0.138836177,0.043394455,0.012509947,,1.61597E-07,0.007468096,0.870370604
85,3.000686113,-15.66445693,-4.891651357,-0.138444903,0.040719388,0.048298178,,1.57403E-07,0.007509012,0.870711224
86,2.900304456,-15.63896406,-4.887368256,-0.134876746,0.043463134,0.032033739,,1.61467E-07,0.007541243,0.873823607
87,2.908937235,-15.65928981,-4.88831325,-0.127784341,0.042837383,0.034552467,,1.58218E-07,0.00753412,0.880043148
88,2.844149471,-15.66939656,-4.868857867,-0.135275937,0.046373301,0.009410647,,1.56627E-07,0.007682134,0.873474854
89,2.969162407,-15.679048,-4.887120885,-0.13087053,0.04749483,0.021388583,,1.55123E-07,0.007543109,0.877331355
90,2.833944028,-15.67608951,-4.905527437,-0.153747364,0.043295912,0.037802828,,1.55583E-07,0.007405536,0.857488626
91,2.836819021,-15.64795349,-4.864828019,-0.14008473,0.046113083,0.022538744,,1.60022E-07,0.007713155,0.869284578
92,2.870738779,-15.63961733,-4.893833282,-0.146987012,0.039812635,0.039339779,,1.61362E-07,0.007492646,0.86330519
93,2.840350091,-15.65514333,-4.893148163,-0.137647859,0.040051794,0.037481018,,1.58876E-07,0.007497781,0.871405495
94,2.836183669,-15.63770862,-4.885600865,-0.141628978,0.047322394,0.029034127,,1.6167E-07,0.007554583,0.867943222
95,2.88650155,-15.65488187,-4.880311125,-0.149590267,0.046699612,0.032026959,,1.58917E-07,0.007594651,0.861060709
96,2.857953711,-15.64753181,-4.87112166,-0.141907604,0.043686487,0.021729609,,1.6009E-07,0.007664763,0.867701425
97,2.954495643,-15.69380902,-4.89805046,-0.132892108,0.043597337,0.025148758,,1.5285E-07,0.007461115,0.875559553
98,2.906138542,-15.62390941,-4.891542192,-0.117580597,0.044666152,0.050944648,,1.63916E-07,0.007509832,0.889068853
99,2.818412944,-15.6486952,-4.895452908,-0.13389744,0.042967197,0.035085984,,1.59904E-07,0.00748052,0.874679768
100,2.800622399,-15.64138111,-4.888914756,-0.14129022,0.044049297,0.018202612,,1.61077E-07,0.007529589,0.868237295
101,2.91124035,-15.66676497,-4.886755929,-0.128270095,0.046248906,0.028986481,,1.5704E-07,0.007545862,0.879615768
102,2.865541634,-15.6524495,-4.897499149,-0.14016724,0.047554036,0.045326781,,1.59304E-07,0.007465229,0.869212856
