,F,V,R0,eta0,etainf,n,tcr,gamma,alpha
2067,2.7457731906067755,-14.493167029750495,-4.421720844049671,3.464146852697874,-7.171764647602887,-0.2504793911134222,-0.3991564699405147,0.06637668458616461,0.2004496335694926
2068,3.0174665950426625,-14.49037592587436,-4.434485609749938,3.4694296531821047,-6.122039348380461,-0.2630506694412344,-0.25422536975661936,0.06627518569540002,0.20471252469867585
2069,2.7650947196609685,-14.536816943239955,-4.422227150357127,3.4624285752694206,-7.504887380192173,-0.2583060798219758,-0.3760305700986466,0.06869100250145765,0.04010296205620227
2070,2.6599030323308086,-14.507514276586928,-4.4627732603660855,3.46609182868793,-7.0136215339049155,-0.2605584911949171,-0.3732449409049588,0.06777611469013202,0.03554194816255263
2071,2.756448931856672,-14.523563061380784,-4.4783888237484595,3.467063271480108,-7.092803997089637,-0.256357352727789,-0.31780521255405386,0.0654902202080729,0.13900996771493343
2072,2.6789923946082945,-14.521173635645372,-4.428118564326702,3.4608641720172075,-6.95319399110383,-0.24782282312555948,-0.2974403325598229,0.06249816322321915,0.06629683088601598
2073,2.6433764940684426,-14.542022050452704,-4.397025510274251,3.4642887196317544,-7.01602078307799,-0.2563261487367918,-0.28960876719102036,0.0652693316149313,0.18919923349849088
2074,2.8476681409558355,-14.513488358742952,-4.416482460380594,3.4589680396678313,-6.696737470134201,-0.2526193686326715,-0.3489448365265201,0.06720708233796881,0.05230247494444831
2075,2.9099034341818912,-14.504719101681136,-4.42937767855604,3.4701089128475004,-6.661741272742547,-0.24821559038434624,-0.2709605687480722,0.06656960036473282,0.1834572730192298
2076,2.8275831876839113,-14.491468647000499,-4.447321427762321,3.4600829088866876,-7.291599896820584,-0.26480175249850424,-0.33160961135519035,0.06757048847382871,0.1244100807429452
2077,2.736225703569978,-14.526207138423059,-4.449193723890685,3.4661921973229153,-6.944850342388757,-0.2623483630104651,-0.45044419972338207,0.06459427458041363,0.05546768704411514
2078,2.875641109874925,-14.50922225566849,-4.407213119570474,3.467528949731831,-7.016063609547432,-0.27044849205531,-0.4113920847864576,0.06496604245585275,0.07797865288880307
2079,2.9283947940078945,-14.502338349015968,-4.4039972492085,3.462595130546642,-7.371668611831323,-0.26601579571015155,-0.36064450933289177,0.06481728245768494,0.20914132945360323
2080,2.880853835875864,-14.564851901953483,-4.41300581933755,3.461827577146008,-6.735699550184008,-0.2533944605337662,-0.3160457362105248,0.0698269663398174,0.07285115954723023
2081,2.683083482797962,-14.50560986940211,-4.4557166624930735,3.462578951616787,-6.813072544700865,-0.25700514907246774,-0.32719537747674254,0.0651059560117443,0.09839769525482892
2082,2.698939155021495,-14.462675726196297,-4.461123182067642,3.466693207445836,-7.079742782480655,-0.2561250337812321,-0.294025760733041,0.06334636478219088,0.0767708302844851
2083,2.8348395323053364,-14.504629652331149,-4.407065481482331,3.4628651322326496,-6.708066248750967,-0.264771197531575,-0.3679703881924644,0.06153355546742094,0.26959696562752267
2084,2.6249312047695623,-14.490126989242304,-4.406669146322792,3.4593760166739993,-6.354256995987039,-0.24903754236487707,-0.36113740597341315,0.06520521057736474,0.07461131465815055
2085,2.730452900004775,-14.510600026296542,-4.475349201358251,3.462648284779613,-6.689444016860717,-0.26100610499971966,-0.3085212903172725,0.06773008086576804,0.15375544201020802
2086,2.88055792533893,-14.499721616730247,-4.375570713446678,3.4665565185372835,-6.861533211077738,-0.2555189372041436,-0.3731541072928721,0.06665281955860788,0.12403316382703139
