,F,V,R0,eta0,etainf,n,tcr,gamma,alpha,,vexp,r0exp,eta0exp,etainfexp,nexp,tcrexp
120,8.493557336,-14.52791816,-4.439083397,3.472532405,-7.466295434,-0.267854702,-0.446330592,0.062151417,0.250949062,,4.90462E-07,0.011806756,32.21822883,0.000572044,0.765018929,0.639972167
121,8.431204356,-14.53708679,-4.438363908,3.467041346,-6.788016728,-0.25664186,-0.41907666,0.063344752,0.125803438,,4.85986E-07,0.011815254,32.04180146,0.001127202,0.773645238,0.657653778
122,8.472113674,-14.58924577,-4.393033165,3.464560965,-7.111776254,-0.256347164,-0.412080898,0.068225236,0.059222909,,4.61287E-07,0.012363173,31.96242408,0.000815445,0.773873261,0.662270698
123,8.4800642,-14.54647115,-4.416355521,3.469708018,-6.968278156,-0.257507935,-0.294293647,0.064308139,0.180482699,,4.81446E-07,0.012078171,32.12736046,0.000941272,0.772975493,0.745057675
124,8.561539345,-14.51247354,-4.398599959,3.458459332,-6.906377159,-0.259831553,-0.421287164,0.065521965,0.170028912,,4.98096E-07,0.012294541,31.76799487,0.001001379,0.771181478,0.656201637
125,8.368096854,-14.52636075,-4.374228764,3.461094649,-7.406294584,-0.26399337,-0.427518675,0.066757843,0.232221865,,4.91226E-07,0.012597854,31.85182401,0.000607417,0.767978632,0.652125224
126,8.343812887,-14.50766879,-4.43873576,3.469282587,-7.07377824,-0.254241377,-0.28953405,0.064690549,0.282563002,,5.00495E-07,0.011810861,32.1136954,0.000847027,0.775504591,0.748612302
127,8.434879473,-14.57629824,-4.420252111,3.468685531,-6.998001953,-0.264919908,-0.406210044,0.063483429,0.1132377,,4.67298E-07,0.012031199,32.09452745,0.000913706,0.767267399,0.666170228
128,8.4868183,-14.57894182,-4.437537985,3.465932125,-7.049624879,-0.257014515,-0.368518619,0.0702463,0.14341181,,4.66064E-07,0.011825016,32.00627973,0.000867734,0.773356988,0.69175833
129,8.444316631,-14.56764481,-4.407785948,3.471269486,-6.697314641,-0.251958387,-0.37515704,0.067177129,0.103404601,,4.71359E-07,0.01218212,32.17756549,0.001234222,0.777277082,0.687181355
130,8.303302663,-14.53440759,-4.410395184,3.460931991,-6.815427634,-0.260709022,-0.291784094,0.06553433,0.161442611,,4.87289E-07,0.012150376,31.84664346,0.001096724,0.770505087,0.746929785
131,8.424984184,-14.51981214,-4.433095643,3.462560979,-7.237049502,-0.257858717,-0.300425387,0.063590166,0.081363004,,4.94454E-07,0.011877664,31.89856356,0.000719431,0.772704394,0.740503153
132,8.378398504,-14.53494757,-4.424092549,3.470393313,-6.667085744,-0.260891473,-0.313583667,0.068069309,0.234919951,,4.87026E-07,0.011985082,32.14938473,0.001272101,0.77036452,0.730823231
133,8.472412276,-14.5205675,-4.383751876,3.471136678,-7.224923391,-0.254116326,-0.313272163,0.071476966,0.380692646,,4.9408E-07,0.012478453,32.17329234,0.000728208,0.775601574,0.73105092
134,8.473287496,-14.54858432,-4.36557178,3.462854973,-7.151768713,-0.247798836,-0.420065091,0.066675206,0.244081161,,4.8043E-07,0.012707387,31.90794293,0.000783477,0.780516939,0.657004053
135,8.462301509,-14.56328005,-4.425990831,3.466628086,-6.947500144,-0.258213393,-0.355995873,0.065405281,0.134234258,,4.73421E-07,0.011962353,32.02856259,0.000961035,0.772430384,0.700475511
136,8.404644404,-14.54279311,-4.480737386,3.471475252,-7.039566008,-0.256785498,-0.301553042,0.066152487,0.043447681,,4.8322E-07,0.011325059,32.18418723,0.000876507,0.773534121,0.739668592
